model,mean_fold_rmse_aud,source,settings,status
catboost_current,34099.7577987076,development/model_checks/catboost_current_seed42.json,"{""depth"": 7, ""iterations"": 1200, ""kind"": ""rate"", ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
catboost_shallow,34204.5466196675,development/model_checks/catboost_shallow_seed42.json,"{""depth"": 4, ""iterations"": 1500, ""kind"": ""rate"", ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
catboost_weighted,34606.00736430611,development/model_checks/catboost_weighted_seed42.json,"{""depth"": 4, ""iterations"": 1500, ""kind"": ""rate"", ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03, ""weight_power"": 2}","Archived run, not retrained in this section"
catboost_amount,35348.16314893513,development/model_checks/catboost_amount_seed42.json,"{""depth"": 6, ""iterations"": 1200, ""kind"": ""amount"", ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
catboost_two_stage,33958.77327986962,development/model_checks/catboost_two_stage_seed42.json,"{""depth"": 5, ""iterations"": 1200, ""kind"": ""two_stage"", ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
catboost_tiers,34503.691590105955,development/model_checks/catboost_tiers_seed42.json,"{""depth"": 4, ""iterations"": 1200, ""kind"": ""tiers"", ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
catboost_core,34680.705926969626,development/model_checks/catboost_core_seed42.json,"{""depth"": 5, ""feature_set"": ""core"", ""iterations"": 1000, ""kind"": ""rate"", ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
catboost_two_stage_core,34689.03992328518,development/model_checks/catboost_two_stage_core_seed42.json,"{""depth"": 5, ""feature_set"": ""core"", ""iterations"": 1200, ""kind"": ""two_stage"", ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
catboost_two_stage_small,34120.27564476072,development/model_checks/catboost_two_stage_small_seed42.json,"{""depth"": 4, ""feature_set"": ""small"", ""iterations"": 800, ""kind"": ""two_stage"", ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
xgboost_rate,34779.85464165597,development/model_checks/xgboost_rate_seed42.json,"{""depth"": 4, ""iterations"": 800, ""kind"": ""xgb_rate"", ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
xgboost_two_stage,34335.35175260061,development/model_checks/xgboost_two_stage_seed42.json,"{""depth"": 4, ""iterations"": 800, ""kind"": ""xgb_two_stage"", ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
catboost_two_stage_deeper,34015.72178099364,development/model_checks/catboost_two_stage_deeper_seed42.json,"{""depth"": 7, ""iterations"": 1200, ""kind"": ""two_stage"", ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
catboost_two_stage_longer,34073.806887487,development/model_checks/catboost_two_stage_longer_seed42.json,"{""depth"": 6, ""iterations"": 1600, ""kind"": ""two_stage"", ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
catboost_two_stage_smooth,34131.30241371349,development/model_checks/catboost_two_stage_smooth_seed42.json,"{""depth"": 3, ""iterations"": 1000, ""kind"": ""two_stage"", ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
catboost_rate_longer,34201.91607056638,development/model_checks/catboost_rate_longer_seed42.json,"{""depth"": 6, ""iterations"": 2500, ""kind"": ""rate"", ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}","Archived run, not retrained in this section"
