,fold,rmse_aud,mae_aud,model,split_seed
0,1,32393.76966732988,16142.532230735103,Two-stage CatBoost,42
1,2,34388.31196364024,17043.381891781704,Two-stage CatBoost,42
2,3,34920.65286949103,17130.08266282501,Two-stage CatBoost,42
3,4,33013.18414819927,16508.235963395873,Two-stage CatBoost,42
4,5,35077.94775068772,17428.52074560076,Two-stage CatBoost,42
5,1,32580.514817124455,16473.83474796822,Single CatBoost,42
6,2,34577.50442716438,17384.13432735699,Single CatBoost,42
7,3,35096.29361067799,17714.004109540834,Single CatBoost,42
8,4,33019.45402566523,16899.318919303038,Single CatBoost,42
9,5,35225.02211290595,17865.25397859327,Single CatBoost,42
10,1,32460.192310136863,16122.201904686506,Three-seed average,42
11,2,34466.3927283101,17062.692359925233,Three-seed average,42
12,3,34982.19280346028,17253.425090992994,Three-seed average,42
13,4,33028.92033829139,16561.929267559804,Three-seed average,42
14,5,35008.17538128745,17370.513860320876,Three-seed average,42
15,1,32889.14338934278,17290.522198670133,Single CatBoost,2026
16,2,34698.24280545097,17333.225377947794,Single CatBoost,2026
17,3,34209.50010292818,17158.20939917998,Single CatBoost,2026
18,4,35289.12647822975,17279.15139112576,Single CatBoost,2026
19,5,34531.00270641868,17735.79489437125,Single CatBoost,2026
20,1,32709.401265327895,16942.98027976696,Two-stage CatBoost,2026
21,2,34644.32898673163,16621.676449079776,Two-stage CatBoost,2026
22,3,33700.866743689316,16657.976946395633,Two-stage CatBoost,2026
23,4,35244.85731208694,16876.771551878515,Two-stage CatBoost,2026
24,5,34295.819958890344,17325.03775607587,Two-stage CatBoost,2026
25,1,32618.199790670602,16868.10712705737,Three-seed average,2026
26,2,34568.17083392011,16618.126104374736,Three-seed average,2026
27,3,33737.63988834399,16645.454298589888,Three-seed average,2026
28,4,35180.729042127336,16890.323733093202,Three-seed average,2026
29,5,34302.857753492935,17182.718027499694,Three-seed average,2026
