,feature,categorical
0,applicant_gender,True
1,applicant_age,False
2,annual_income_aud,False
3,income_consistency,True
4,occupation_class,True
5,employment_sector,True
6,residence_area,True
7,requested_amount_aud,False
8,existing_repayments_aud,False
9,expense_flag_a,True
10,expense_flag_b,True
11,dependants_count,False
12,credit_rating,False
13,prior_default_count,False
14,card_status,True
15,property_category,True
16,property_area,True
17,has_co_applicant,False
18,property_value_aud,False
19,marketing_channel,True
20,branch_id,True
21,monthly_income_aud,False
22,risk_review_flag,False
23,enquiry_count_12m,False
24,missing_value_count,False
25,applicant_gender_is_missing,False
26,annual_income_aud_is_missing,False
27,income_consistency_is_missing,False
28,employment_sector_is_missing,False
29,existing_repayments_aud_is_missing,False
30,dependants_count_is_missing,False
31,credit_rating_is_missing,False
32,property_age_years_is_missing,False
33,property_area_is_missing,False
34,has_co_applicant_is_missing,False
35,property_value_aud_is_missing,False
36,monthly_income_aud_is_missing,False
37,application_year,False
38,application_month_sin,False
39,application_month_cos,False
40,application_dayofyear_sin,False
41,application_dayofyear_cos,False
42,annual_income_reconciled_aud,False
43,income_sources_available,False
44,income_relative_gap,False
45,requested_to_property_value,False
46,requested_to_annual_income,False
47,repayments_to_monthly_income,False
48,property_value_minus_requested,False
