,model,fold,raw_rmse_aud,constrained_rmse_aud,constrained_mae_aud,prediction_below_zero_n,prediction_above_request_n
0,Ridge,1,43290.18431625785,42214.078536135705,27186.68223841791,283,217
1,Ridge,2,45220.2725801131,44147.71870170468,28017.374390469446,298,179
2,Ridge,3,73465.64141182517,43652.35630523398,28140.955462932394,276,199
3,Ridge,4,43522.40684868412,42507.2603516982,27870.176886736474,269,195
4,Ridge,5,44913.949618400286,44006.805114180424,28122.493890165115,271,169
5,Random Forest,1,34346.58332060808,34345.755921783966,17304.706634216298,0,1
6,Random Forest,2,36772.751553774164,36772.751553774164,18240.726805172835,0,0
7,Random Forest,3,36982.434149993685,36981.74773935927,18294.631916424976,0,2
8,Random Forest,4,34508.92072811034,34508.83509919388,17534.11322436385,0,2
9,Random Forest,5,37362.04868206764,37361.94066649494,18568.649303592287,0,2
10,Histogram Gradient Boosting,1,34524.05475052445,34497.61829687114,18338.885241829703,25,49
11,Histogram Gradient Boosting,2,37186.23564846806,37168.858989277265,19421.765142283515,21,54
12,Histogram Gradient Boosting,3,37139.06455307466,37120.228236926574,18937.652995240835,127,29
13,Histogram Gradient Boosting,4,34885.541502347725,34868.41792329986,18634.60242603919,18,54
14,Histogram Gradient Boosting,5,36685.682941874584,36668.919327452146,19903.51910570624,14,47
