,split_seed,fold,single_rmse,two_stage_rmse,change_aud
0,42,1,32580.514817124455,32393.76966732988,-186.74514979457308
1,42,2,34577.50442716438,34388.31196364024,-189.19246352413757
2,42,3,35096.29361067799,34920.65286949103,-175.64074118695862
3,42,4,33019.45402566523,33013.18414819927,-6.269877465965692
4,42,5,35225.02211290595,35077.94775068772,-147.07436221822718
5,2026,1,32889.14338934278,32709.401265327895,-179.74212401488694
6,2026,2,34698.24280545097,34644.32898673163,-53.91381871934573
7,2026,3,34209.50010292818,33700.866743689316,-508.6333592388619
8,2026,4,35289.12647822975,35244.85731208694,-44.26916614281072
9,2026,5,34531.00270641868,34295.819958890344,-235.1827475283353
