,feature,fold,repeat,rmse_increase_aud
0,requested_amount_aud,1,1,52421.65908522147
1,requested_amount_aud,1,2,52611.53699946335
2,requested_amount_aud,1,3,52037.72129745358
3,has_co_applicant,1,1,19017.784383517817
4,has_co_applicant,1,2,19496.191546185113
5,has_co_applicant,1,3,18277.60932664292
6,credit_rating,1,1,22138.41086654027
7,credit_rating,1,2,22816.639867346265
8,credit_rating,1,3,22962.552887198162
9,income_consistency,1,1,1579.25927140575
10,income_consistency,1,2,1282.577970419752
11,income_consistency,1,3,1229.7312390249826
12,applicant_age,1,1,75.63329514307043
13,applicant_age,1,2,91.08895363541887
14,applicant_age,1,3,22.00220501869626
15,requested_amount_aud,2,1,51520.51704521604
16,requested_amount_aud,2,2,52269.661471281725
17,requested_amount_aud,2,3,52580.198321747695
18,has_co_applicant,2,1,17182.798336758453
19,has_co_applicant,2,2,20016.771908602954
20,has_co_applicant,2,3,18692.174752001665
21,credit_rating,2,1,19842.34965893701
22,credit_rating,2,2,22272.476992909258
23,credit_rating,2,3,22208.67821493333
24,income_consistency,2,1,1740.0431282199133
25,income_consistency,2,2,2367.078879835979
26,income_consistency,2,3,2455.8090601557706
27,applicant_age,2,1,119.03809594250197
28,applicant_age,2,2,64.60486735075392
29,applicant_age,2,3,26.08221183410933
30,requested_amount_aud,3,1,49583.452674853535
31,requested_amount_aud,3,2,48601.10217961053
32,requested_amount_aud,3,3,49969.20604584892
33,has_co_applicant,3,1,17032.64922103841
34,has_co_applicant,3,2,15609.604638412238
35,has_co_applicant,3,3,17230.571861563483
36,credit_rating,3,1,19105.8227151103
37,credit_rating,3,2,20148.1084322179
38,credit_rating,3,3,20162.1200420854
39,income_consistency,3,1,833.6810140293965
40,income_consistency,3,2,957.2318929348257
41,income_consistency,3,3,1095.1400296586799
42,applicant_age,3,1,13.728510806809936
43,applicant_age,3,2,48.592858704527316
44,applicant_age,3,3,-37.405863416031934
45,requested_amount_aud,4,1,53928.942820942255
46,requested_amount_aud,4,2,52870.558688676676
47,requested_amount_aud,4,3,52411.68913611274
48,has_co_applicant,4,1,17338.503120206784
49,has_co_applicant,4,2,17840.235617823295
50,has_co_applicant,4,3,17796.79661067296
51,credit_rating,4,1,17876.427871452885
52,credit_rating,4,2,19902.856543155423
53,credit_rating,4,3,19935.67698777064
54,income_consistency,4,1,1256.819986362374
55,income_consistency,4,2,986.1048046157593
56,income_consistency,4,3,1374.049506461728
57,applicant_age,4,1,15.424968973682553
58,applicant_age,4,2,57.91459420075262
59,applicant_age,4,3,44.92554896474758
60,requested_amount_aud,5,1,49840.46902206353
61,requested_amount_aud,5,2,47999.39456297921
62,requested_amount_aud,5,3,49334.27984897294
63,has_co_applicant,5,1,18642.44811230387
64,has_co_applicant,5,2,17937.25171503119
65,has_co_applicant,5,3,17185.750777557965
66,credit_rating,5,1,17258.115879880934
67,credit_rating,5,2,18211.964804345997
68,credit_rating,5,3,18120.311481447723
69,income_consistency,5,1,1022.7148262679766
70,income_consistency,5,2,1166.3014359776716
71,income_consistency,5,3,988.824206813144
72,applicant_age,5,1,82.64822197282774
73,applicant_age,5,2,125.94608582014189
74,applicant_age,5,3,147.9122713362376
